#{"t_start": 1744923385.571989, "env_id": "None"}
r,l,t
14539.867,100,5.562266
6931.299,100,5.583888
10136.1995,100,5.606219
2549.4125,100,5.628524
8634.2515,100,5.651803
6557.611,100,5.674496
10330.286,100,5.696713
8128.374,100,5.718685
7462.2445,100,5.741315
16951.3545,100,5.762789
11409.427,100,5.784435
3058.779,100,5.806073
6762.7895,100,5.828464
14402.943,100,5.850883
19257.0045,100,5.873344
10501.0425,100,5.896258
7105.5565,100,5.919639
9251.05,100,5.942578
16915.038,100,5.964921
14550.222,100,5.98681
9273.5645,100,6.009309
20816.0475,100,6.030876
7752.58,100,6.05248
11728.615,100,6.074222
13154.6125,100,6.098571
13733.264,100,6.121477
13216.721,100,6.144467
12152.8435,100,6.167237
9715.7145,100,6.191092
9175.5515,100,6.213809
15556.1625,100,6.236084
12299.8905,100,6.258062
13843.0315,100,6.280701
12882.1375,100,6.302663
7556.7205,100,6.324673
13918.4685,100,6.346571
6072.9545,100,6.369146
2281.4435,100,6.391684
5428.3465,100,6.414922
13049.7905,100,6.437876
8838.985,100,6.461499
6142.6885,100,6.484164
13516.1755,100,6.506573
9101.976,100,6.528936
13850.037,100,6.552243
10008.623,100,6.574442
16827.2605,100,6.596309
8992.609,100,6.618204
15652.086,100,6.64139
13677.4145,100,6.664352
14205.201,100,6.687393
9661.443,100,6.710666
8266.9465,100,6.735162
8486.717,100,6.757988
15159.109,100,6.780272
21278.1945,100,6.802534
11717.8365,100,6.825524
10658.9335,100,6.847514
11584.798,100,6.869823
9816.055,100,6.892033
4280.158,100,6.915013
9491.246,100,6.938045
16027.3535,100,6.961642
8942.427,100,6.984666
6545.1345,100,7.008557
17284.8435,100,7.031527
14024.876,100,7.053709
9940.1925,100,7.075808
13477.464,100,7.099361
15813.125,100,7.121533
5981.743,100,7.143803
19850.784,100,7.165937
11656.779,100,7.188926
9297.7955,100,7.21158
4371.6295,100,7.234757
15162.9875,100,7.257845
6933.081,100,7.281714
13505.72,100,7.304532
9492.879,100,7.326743
1741.2965,100,7.34887
15247.171,100,7.371918
7442.176,100,7.394029
8100.5015,100,7.416173
14859.438,100,7.438858
16390.9685,100,7.461902
4456.2645,100,7.485139
7056.179,100,7.508358
13960.8555,100,7.5314
13627.8755,100,7.55568
15032.1445,100,7.578656
252.5725,100,7.601097
9136.436,100,7.623291
6352.1575,100,7.646409
6702.4385,100,7.668735
18419.0815,100,7.691156
20305.404,100,7.713371
16797.029,100,7.73634
10226.402,100,7.759479
12169.2335,100,7.782803
15134.9475,100,7.805673
16594.3475,100,7.829887
16254.461,100,7.852927
21892.216,100,7.87489
15991.464,100,7.896992
9232.845,100,7.920026
9548.996,100,7.942303
12886.939,100,7.964614
7721.4745,100,7.98678
7020.6975,100,8.010291
11900.283,100,8.032991
11157.566,100,8.056084
12613.166,100,8.078925
11477.9905,100,8.10251
11193.161,100,8.125683
11869.1575,100,8.147947
16833.31,100,8.170165
-2739.2985,100,8.193206
6536.7655,100,8.215391
11227.4635,100,8.237809
9980.7,100,8.259934
11878.4415,100,8.283236
10256.638,100,8.306304
13668.327,100,8.329345
12454.7945,100,8.352686
4937.504,100,8.376729
11170.7015,100,8.399784
15981.276,100,8.422093
17146.2445,100,8.444697
14190.5015,100,8.468203
12470.375,100,8.490408
7970.8185,100,8.512393
3794.5815,100,8.5347
13197.806,100,8.55775
14923.0315,100,8.581194
12841.864,100,8.604084
9283.0575,100,8.627147
11957.6195,100,8.650886
3629.9175,100,8.673509
12281.906,100,8.696077
12045.5475,100,8.718398
13060.812,100,8.741839
6754.5045,100,8.764211
8213.493,100,8.786453
8940.7435,100,8.808289
11277.712,100,8.831283
6287.1955,100,8.854334
5413.018,100,8.877711
11788.046,100,8.900988
12280.816,100,8.925072
16152.678,100,8.948007
7753.27,100,8.970322
10589.752,100,8.992637
12931.9855,100,9.015758
9548.2225,100,9.037948
13725.8925,100,9.059947
9500.2655,100,9.082055
10663.974,100,9.104877
16062.04,100,9.127639
11833.769,100,9.150969
9337.7475,100,9.174485
12312.7125,100,9.198623
14514.1625,100,9.221742
8979.086,100,9.24418
9657.7435,100,9.266437
7458.1435,100,9.289493
6168.3415,100,9.311826
16430.474,100,9.334212
10646.713,100,9.356356
3685.8635,100,9.379415
10627.4715,100,9.402323
8647.7925,100,9.425521
8565.856,100,9.448699
6631.904,100,9.472755
14778.9,100,9.495388
10840.7095,100,9.517625
13641.4865,100,9.539715
10937.6165,100,9.562546
18096.9865,100,9.584637
10056.157,100,9.60672
15025.9835,100,9.628809
18450.9645,100,9.65155
5517.187,100,9.674328
15493.254,100,9.697799
11534.139,100,9.720884
12976.877,100,9.74492
13233.1955,100,9.768503
9121.9555,100,9.790797
13073.731,100,9.813086
13704.896,100,9.836165
3542.403,100,9.858381
10464.2995,100,9.880507
10559.045,100,9.902699
9817.441,100,9.925732
14665.684,100,9.949101
9016.5775,100,9.972303
13109.1235,100,9.995449
13237.701,100,10.019563
15140.631,100,10.041879
10786.9485,100,10.064175
12735.6915,100,10.086363
12196.5265,100,10.109499
12266.087,100,10.131654
13068.382,100,10.153742
11944.772,100,10.175886
13152.1745,100,10.19893
13294.475,100,10.22151
16471.639,100,10.244866
6218.866,100,10.267935
13779.275,100,10.291701
15133.178,100,10.314639
15888.8155,100,10.337006
11206.764,100,10.359009
15659.7165,100,10.382074
9286.1335,100,10.404235
14102.6345,100,10.426232
8120.4215,100,10.448414
12537.6625,100,10.471539
14777.5155,100,10.494819
8464.5735,100,10.518103
15334.9675,100,10.541633
7534.314,100,10.56578
12416.8145,100,10.588579
12742.0845,100,10.61088
16651.5665,100,10.633014
14055.333,100,10.655849
8951.967,100,10.677986
13974.9205,100,10.700708
14783.1645,100,10.723019
10969.8555,100,10.746145
13209.9115,100,10.768959
21570.0535,100,10.792439
12840.621,100,10.815494
8140.454,100,10.839304
8229.187,100,10.862387
5536.3375,100,10.884478
13885.52,100,10.906661
3197.047,100,10.929657
14309.6665,100,10.951664
8008.843,100,10.974505
11608.9485,100,10.996621
12979.129,100,11.019869
9477.8785,100,11.043014
338.405,100,11.065951
11731.824,100,11.089235
7320.842,100,11.113428
7099.566,100,11.136306
8676.1725,100,11.158577
17724.104,100,11.180878
10099.2845,100,11.204517
11257.1665,100,11.226766
13963.3105,100,11.248812
13311.469,100,11.270967
12127.2525,100,11.293904
11922.878,100,11.316784
13759.02,100,11.340064
12345.349,100,11.362931
9450.446,100,11.386883
15518.727,100,11.409802
12092.387,100,11.43254
15428.2275,100,11.455027
5352.539,100,11.477909
13693.7795,100,11.499994
6567.4255,100,11.522016
6720.9575,100,11.544181
14084.3785,100,11.567271
17152.0955,100,11.590159
19164.594,100,11.612987
19380.0,100,11.636046
11596.7015,100,11.660471
16624.356,100,11.683608
12370.941,100,11.706033
14599.2,100,11.728252
15606.5075,100,11.751314
12418.864,100,11.773448
9084.502,100,11.795875
7417.472,100,11.818223
10933.674,100,11.841008
13987.9555,100,11.864052
16673.925,100,11.887737
16817.968,100,11.911117
7527.193,100,11.935122
14705.1165,100,11.957788
13794.9355,100,11.979972
9792.66,100,12.001975
8894.086,100,12.02503
11054.9655,100,12.047128
15346.737,100,12.069241
10121.0885,100,12.0914
10464.2035,100,12.114383
13282.73,100,12.137257
8567.004,100,12.160154
14617.9805,100,12.183451
10883.3395,100,12.207377
11202.7065,100,12.230606
6137.363,100,12.252764
16129.586,100,12.274938
6923.287,100,12.297808
9605.573,100,12.319988
16998.751,100,12.342305
7365.563,100,12.364458
9514.562,100,12.387387
11169.6995,100,12.410785
3837.2925,100,12.433551
8968.638,100,12.457119
5373.177,100,12.480662
12661.331,100,12.502985
7892.5365,100,12.525062
13724.176,100,12.547167
15221.425,100,12.570597
12648.2825,100,12.593015
11593.419,100,12.615224
12499.598,100,12.637416
20383.861,100,12.660305
7954.57,100,12.682842
13678.7845,100,12.706419
8683.0635,100,12.729534
12793.5815,100,12.753435
17595.1685,100,12.776475
21361.5905,100,12.799147
14443.2475,100,12.821477
10996.278,100,12.844844
3033.2125,100,12.867156
11730.7995,100,12.889504
13793.186,100,12.91161
10970.103,100,12.934407
5071.835,100,12.957511
9871.29,100,12.980703
7042.9235,100,13.003571
15068.034,100,13.027373
16172.09,100,13.050397
18356.14,100,13.072645
5020.451,100,13.094986
7970.998,100,13.118108
5207.147,100,13.140203
6208.4085,100,13.162313
10716.3975,100,13.184263
11480.8075,100,13.207316
9332.1665,100,13.230161
16693.3265,100,13.253602
15172.771,100,13.276824
15729.6785,100,13.30071
16494.104,100,13.323443
15507.5285,100,13.345848
14922.2615,100,13.367888
13380.2875,100,13.390989
9252.2025,100,13.413104
17554.3925,100,13.435436
18193.5875,100,13.457666
10379.2855,100,13.480889
12553.4155,100,13.503985
10564.5515,100,13.527564
10700.0365,100,13.551212
10314.6695,100,13.57497
8959.0365,100,13.597903
10852.485,100,13.62031
18408.1995,100,13.642559
4991.809,100,13.665723
11900.348,100,13.687908
11666.574,100,13.710548
14456.258,100,13.732847
14468.4465,100,13.755758
19973.005,100,13.778488
9377.1045,100,13.801514
12537.302,100,13.824817
1484.497,100,13.848741
7954.438,100,13.871468
10188.636,100,13.893692
10758.4875,100,13.915901
9040.396,100,13.939212
11913.327,100,13.961527
5782.527,100,13.983798
11095.694,100,14.006024
15792.0095,100,14.029133
14839.591,100,14.052374
